Entry	Entry name	Protein names	Taxonomic lineage (PHYLUM)	Taxonomic lineage (ORDER)	Taxonomic lineage (SPECIES)	Taxonomic lineage (FAMILY)
A0A7V7V4A3	A0A7V7V4A3_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus luti	Bacillaceae
A0A7V7YY78	A0A7V7YY78_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus sp. B1-WWTP-T-0.5-Post-4	Bacillaceae
A0A7V8CLH0	A0A7V8CLH0_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus sp. B1-WWTP-T-0.5-Post-4	Bacillaceae
A0A7W8CXS9	A0A7W8CXS9_9FIRM	Uncharacterized protein	Firmicutes	Erysipelotrichales	Catenisphaera adipataccumulans	Erysipelotrichaceae
A0A7W8D116	A0A7W8D116_9FIRM	Uncharacterized protein	Firmicutes	Erysipelotrichales	Faecalicoccus acidiformans	Erysipelotrichaceae
A0A7X0WQX7	A0A7X0WQX7_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria booriae	Listeriaceae
A0A7X0WR60	A0A7X0WR60_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria booriae	Listeriaceae
A0A7X0XCB6	A0A7X0XCB6_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria booriae	Listeriaceae
A0A7X0XEM9	A0A7X0XEM9_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria booriae	Listeriaceae
A0A7X0XHY2	A0A7X0XHY2_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria booriae	Listeriaceae
A0A7X0XI23	A0A7X0XI23_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria booriae	Listeriaceae
A0A7X0XQH1	A0A7X0XQH1_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria booriae	Listeriaceae
A0A7X0Y062	A0A7X0Y062_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria booriae	Listeriaceae
A0A7X0Y3T9	A0A7X0Y3T9_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria grandensis	Listeriaceae
A0A7X0Z1U7	A0A7X0Z1U7_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria booriae	Listeriaceae
A0A7X0ZAW1	A0A7X0ZAW1_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria cossartiae	Listeriaceae
A0A7X0ZMM6	A0A7X0ZMM6_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria booriae	Listeriaceae
A0A7X0ZVE9	A0A7X0ZVE9_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria booriae	Listeriaceae
A0A7X1A863	A0A7X1A863_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria booriae	Listeriaceae
A0A7X1C0Y6	A0A7X1C0Y6_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria booriae	Listeriaceae
A0A7X1CA92	A0A7X1CA92_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria immobilis	Listeriaceae
A0A7X1CCY4	A0A7X1CCY4_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria booriae	Listeriaceae
A0A7X1CIE7	A0A7X1CIE7_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria booriae	Listeriaceae
A0A7X1CW97	A0A7X1CW97_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria booriae	Listeriaceae
A0A7X1D9V3	A0A7X1D9V3_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria booriae	Listeriaceae
A0A7X1DCD3	A0A7X1DCD3_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria cossartiae	Listeriaceae
A0A7X2J3D6	A0A7X2J3D6_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus lacus	Bacillaceae
A0A7X2JM79	A0A7X2JM79_BACTU	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A7X2JTP8	A0A7X2JTP8_BACTU	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A7X2P9G4	A0A7X2P9G4_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Bilifractor porci	Lachnospiraceae
A0A7X2T3Y7	A0A7X2T3Y7_9FIRM	DUF4176 domain-containing protein	Firmicutes	Erysipelotrichales	Floccifex porci	Erysipelotrichaceae
A0A7X2V4S3	A0A7X2V4S3_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus mangrovi	Bacillaceae
A0A7X3IGC1	A0A7X3IGC1_9BACL	DUF4176 domain-containing protein	Firmicutes	Bacillales	Paenibacillus sp. HJL G12	Paenibacillaceae
A0A7X5I6B1	A0A7X5I6B1_9CLOT	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Clostridiaceae bacterium	Clostridiaceae
A0A7X5PAD5	A0A7X5PAD5_CLOSG	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Clostridium sporogenes	Clostridiaceae
A0A7X7HHZ8	A0A7X7HHZ8_9CLOT	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Clostridiaceae bacterium	Clostridiaceae
A0A7X7HIF0	A0A7X7HIF0_9CLOT	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Clostridiaceae bacterium	Clostridiaceae
A0A7X7VYR9	A0A7X7VYR9_9CLOT	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Clostridiaceae bacterium	Clostridiaceae
A0A7X8JG85	A0A7X8JG85_9CLOT	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Clostridiaceae bacterium	Clostridiaceae
A0A7X8L302	A0A7X8L302_9CLOT	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Clostridiaceae bacterium	Clostridiaceae
A0A7X8M6C4	A0A7X8M6C4_9CLOT	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Clostridiaceae bacterium	Clostridiaceae
A0A7X9BRY4	A0A7X9BRY4_9CLOT	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Clostridiaceae bacterium	Clostridiaceae
A0A7X9FZ66	A0A7X9FZ66_9CLOT	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Clostridiaceae bacterium	Clostridiaceae
A0A7X9MDC0	A0A7X9MDC0_9STRE	DUF4176 domain-containing protein	Firmicutes	Lactobacillales	Streptococcus sp. WB01_FAA12	Streptococcaceae
A0A7X9MGA0	A0A7X9MGA0_9STRE	DUF4176 domain-containing protein	Firmicutes	Lactobacillales	Streptococcus sp. WB01_FAA12	Streptococcaceae
A0A7Y0EIQ7	A0A7Y0EIQ7_9CLOT	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Clostridium sp. P21	Clostridiaceae
A0A7Y6BWJ3	A0A7Y6BWJ3_9BACL	DUF4176 domain-containing protein	Firmicutes	Bacillales	Paenibacillus xylanilyticus	Paenibacillaceae
A0A7Y6P7M5	A0A7Y6P7M5_BACLI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus licheniformis	Bacillaceae
A0A7Y6P8I0	A0A7Y6P8I0_BACLI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus licheniformis	Bacillaceae
A0A7Z0VFZ0	A0A7Z0VFZ0_STRAG	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus agalactiae	Streptococcaceae
A0A7Z1B2Z0	A0A7Z1B2Z0_9BACI	Putative EsaC protein-like protein (Listeria type 3)	Firmicutes	Bacillales	Bacillus paralicheniformis	Bacillaceae
A0A7Z1FTS5	A0A7Z1FTS5_9BACI	Cytoplasmic protein	Firmicutes	Bacillales	Bacillus pseudomycoides	Bacillaceae
A0A7Z1JN02	A0A7Z1JN02_9BACI	Cytoplasmic protein	Firmicutes	Bacillales	Bacillus pseudomycoides	Bacillaceae
A0A7Z2QBP2	A0A7Z2QBP2_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus sp. N1-1	Bacillaceae
A0A7Z6RA17	A0A7Z6RA17_STRAG	DUF4176 domain-containing protein	Firmicutes	Lactobacillales	Streptococcus agalactiae	Streptococcaceae
A0A7Z7CIX9	A0A7Z7CIX9_9BACL	Uncharacterized protein	Firmicutes	Bacillales	Paenibacillus sp. OK076	Paenibacillaceae
A0A7Z7QU46	A0A7Z7QU46_STRAG	EsaC protein analog (Listeria type 3)	Firmicutes	Lactobacillales	Streptococcus agalactiae	Streptococcaceae
A0A7Z7R1V1	A0A7Z7R1V1_9STAP	EsaC protein analog (Listeria type 3)	Firmicutes	Bacillales	Staphylococcus schleiferi	Staphylococcaceae
A0A7Z7VZD5	A0A7Z7VZD5_STRAG	EsaC protein analog (Listeria type 3)	Firmicutes	Lactobacillales	Streptococcus agalactiae	Streptococcaceae
A0A7Z8D0K3	A0A7Z8D0K3_CARDV	Uncharacterized protein	Firmicutes	Lactobacillales	Carnobacterium divergens (Lactobacillus divergens)	Carnobacteriaceae
A0A7Z8D1M2	A0A7Z8D1M2_CARDV	Uncharacterized protein	Firmicutes	Lactobacillales	Carnobacterium divergens (Lactobacillus divergens)	Carnobacteriaceae
A0A7Z8M8B3	A0A7Z8M8B3_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus sp. 007/AIA-02/001	Bacillaceae
A0A7Z8RL84	A0A7Z8RL84_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus sp. AY18-3	Bacillaceae
A0A7Z8RLW3	A0A7Z8RLW3_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus sp. AY18-3	Bacillaceae
A0A7Z8RRC4	A0A7Z8RRC4_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus sp. AY18-3	Bacillaceae
A0A7Z8S8A9	A0A7Z8S8A9_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus sp. BF9-10	Bacillaceae
A0A7Z8SAW9	A0A7Z8SAW9_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus sp. AR13-1	Bacillaceae
A0A7Z8SFW5	A0A7Z8SFW5_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus sp. AR13-1	Bacillaceae
A0A7Z9D2L0	A0A7Z9D2L0_STRSZ	EsaC protein analog (Listeria type 3)	Firmicutes	Lactobacillales	Streptococcus equi	Streptococcaceae
A0A806HR61	A0A806HR61_BACTU	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A822LJ27	A0A822LJ27_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Coprococcus sp. CAG:131	Lachnospiraceae
A0A823IJN9	A0A823IJN9_LISMN	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria monocytogenes	Listeriaceae
A0A823ISA5	A0A823ISA5_LISMN	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria monocytogenes	Listeriaceae
A0A823J7P0	A0A823J7P0_LISMN	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria monocytogenes	Listeriaceae
A0A826HBK5	A0A826HBK5_BACTU	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A826HDY2	A0A826HDY2_BACTU	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A826HQF1	A0A826HQF1_ENTFL	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus faecalis (Streptococcus faecalis)	Enterococcaceae
A0A828T3I5	A0A828T3I5_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Lachnospiraceae bacterium 1_1_57FAA	Lachnospiraceae
A0A828X5F7	A0A828X5F7_BACCE	Uncharacterized protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A828XDB2	A0A828XDB2_BACCE	Uncharacterized protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A828ZNG3	A0A828ZNG3_ENTFC	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus faecium (Streptococcus faecium)	Enterococcaceae
A0A829DDP7	A0A829DDP7_9LACO	Uncharacterized protein	Firmicutes	Lactobacillales	Ligilactobacillus murinus	Lactobacillaceae
A0A829DIG8	A0A829DIG8_9LACO	Uncharacterized protein	Firmicutes	Lactobacillales	Ligilactobacillus murinus	Lactobacillaceae
A0A829IF65	A0A829IF65_STRAG	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus agalactiae	Streptococcaceae
A0A829M427	A0A829M427_STAEP	EsaC-like protein	Firmicutes	Bacillales	Staphylococcus epidermidis	Staphylococcaceae
A0A829M711	A0A829M711_STAEP	EsaC-like protein	Firmicutes	Bacillales	Staphylococcus epidermidis	Staphylococcaceae
A0A829RAJ7	A0A829RAJ7_LISGR	Uncharacterized protein	Firmicutes	Bacillales	Listeria grayi (Listeria murrayi)	Listeriaceae
A0A829ZIU0	A0A829ZIU0_9LACT	Uncharacterized protein	Firmicutes	Lactobacillales	Lactobacillaceae bacterium	
A0A829ZR90	A0A829ZR90_9LACT	Uncharacterized protein	Firmicutes	Lactobacillales	Lactobacillaceae bacterium	
A0A833P5K4	A0A833P5K4_PEDAC	DUF4176 domain-containing protein	Firmicutes	Lactobacillales	Pediococcus acidilactici	Lactobacillaceae
A0A837EKU0	A0A837EKU0_STRSZ	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus equi	Streptococcaceae
A0A837ER64	A0A837ER64_STRSZ	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus equi	Streptococcaceae
A0A837EST3	A0A837EST3_STRSZ	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus equi	Streptococcaceae
A0A837ETC3	A0A837ETC3_STRSZ	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus equi	Streptococcaceae
A0A837XWK9	A0A837XWK9_BACAT	Uncharacterized protein	Firmicutes	Bacillales	Bacillus atrophaeus	Bacillaceae
A0A838ZFN9	A0A838ZFN9_ENTHR	DUF4176 domain-containing protein	Firmicutes	Lactobacillales	Enterococcus hirae	Enterococcaceae
A0A841F3B7	A0A841F3B7_9BACL	Uncharacterized protein	Firmicutes	Bacillales	Paenibacillus sp. JGP012	Paenibacillaceae
A0A841YCQ8	A0A841YCQ8_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria fleischmannii	Listeriaceae
A0A841YEH0	A0A841YEH0_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria fleischmannii	Listeriaceae
A0A841YHN3	A0A841YHN3_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria fleischmannii	Listeriaceae
A0A841Z9U6	A0A841Z9U6_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria weihenstephanensis	Listeriaceae
A0A841ZH34	A0A841ZH34_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria booriae	Listeriaceae
A0A841ZJA7	A0A841ZJA7_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria aquatica	Listeriaceae
A0A841ZJQ2	A0A841ZJQ2_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria booriae	Listeriaceae
A0A842AR47	A0A842AR47_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria booriae	Listeriaceae
A0A842ARV0	A0A842ARV0_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria booriae	Listeriaceae
A0A842ATE9	A0A842ATE9_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria booriae	Listeriaceae
A0A842BY83	A0A842BY83_LISIO	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria innocua	Listeriaceae
A0A842BYP8	A0A842BYP8_LISIO	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria innocua	Listeriaceae
A0A842CJ63	A0A842CJ63_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria marthii	Listeriaceae
A0A842DFS1	A0A842DFS1_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria booriae	Listeriaceae
A0A842END0	A0A842END0_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria booriae	Listeriaceae
A0A842EQL5	A0A842EQL5_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria booriae	Listeriaceae
A0A842FAS8	A0A842FAS8_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria booriae	Listeriaceae
A0A842FCW0	A0A842FCW0_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria booriae	Listeriaceae
A0A842FJZ6	A0A842FJZ6_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria booriae	Listeriaceae
A0A842FWU0	A0A842FWU0_9LIST	DUF4176 domain-containing protein	Firmicutes	Bacillales	Listeria booriae	Listeriaceae
A0A844LNG6	A0A844LNG6_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Virgibacillus dakarensis	Bacillaceae
A0A844LPZ7	A0A844LPZ7_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Virgibacillus dakarensis	Bacillaceae
A0A844LS21	A0A844LS21_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Virgibacillus dakarensis	Bacillaceae
A0A844LS65	A0A844LS65_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Virgibacillus dakarensis	Bacillaceae
A0A844LUC8	A0A844LUC8_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Virgibacillus dakarensis	Bacillaceae
A0A845F101	A0A845F101_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Alkalihalobacillus hwajinpoensis	Bacillaceae
A0A845F153	A0A845F153_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Alkalihalobacillus hwajinpoensis	Bacillaceae
A0A845I930	A0A845I930_9LACO	DUF4176 domain-containing protein	Firmicutes	Lactobacillales	Ligilactobacillus salivarius	Lactobacillaceae
A0A846TQS7	A0A846TQS7_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Mesobacillus selenatarsenatis	Bacillaceae
A0A847QXZ3	A0A847QXZ3_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Epulopiscium sp.	Lachnospiraceae
A0A848MC63	A0A848MC63_9BACL	DUF4176 domain-containing protein	Firmicutes	Bacillales	Paenibacillus lemnae	Paenibacillaceae
A0A848MTB4	A0A848MTB4_ENTMU	DUF4176 domain-containing protein	Firmicutes	Lactobacillales	Enterococcus mundtii	Enterococcaceae
A0A848MU58	A0A848MU58_ENTMU	DUF4176 domain-containing protein	Firmicutes	Lactobacillales	Enterococcus mundtii	Enterococcaceae
A0A848MW77	A0A848MW77_ENTMU	DUF4176 domain-containing protein	Firmicutes	Lactobacillales	Enterococcus mundtii	Enterococcaceae
A0A852UIG7	A0A852UIG7_9BACL	Uncharacterized protein	Firmicutes	Bacillales	Sporosarcina sp. JAI121	Planococcaceae
A0A853CS79	A0A853CS79_9MICO	Uncharacterized protein	Actinobacteria	Micrococcales	Leifsonia shinshuensis	Microbacteriaceae
A0A853V6C7	A0A853V6C7_9STAP	Type II secretion protein	Firmicutes	Bacillales	Staphylococcus sp. HMSC063F10	Staphylococcaceae
A0A853XKB5	A0A853XKB5_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Bacillus sp. L27	Bacillaceae
A0A853ZDG5	A0A853ZDG5_BACCE	Cytoplasmic protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A854AQH4	A0A854AQH4_9BACI	Cytoplasmic protein	Firmicutes	Bacillales	Bacillus toyonensis	Bacillaceae
A0A854AWG0	A0A854AWG0_9BACI	Cytoplasmic protein	Firmicutes	Bacillales	Bacillus toyonensis	Bacillaceae
A0A855AWQ3	A0A855AWQ3_BACCE	Uncharacterized protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A855AX58	A0A855AX58_BACCE	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A855BA58	A0A855BA58_BACCE	Uncharacterized protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A855BA73	A0A855BA73_BACCE	Uncharacterized protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A855BHQ2	A0A855BHQ2_BACCE	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A855C4W5	A0A855C4W5_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus wiedmannii	Bacillaceae
A0A855DWG8	A0A855DWG8_BACTU	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A855L3B2	A0A855L3B2_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus sp. AKBS9	Bacillaceae
A0A855Y5F9	A0A855Y5F9_9BACL	Uncharacterized protein	Firmicutes	Bacillales	Paenibacillus pabuli	Paenibacillaceae
A0A859ELY7	A0A859ELY7_STRSA	DUF4176 domain-containing protein	Firmicutes	Lactobacillales	Streptococcus sanguinis	Streptococcaceae
A0A894WUR0	A0A894WUR0_9STAP	DUF4176 domain-containing protein	Firmicutes	Bacillales	Staphylococcus sp. SM9054	Staphylococcaceae
A0A897ILP9	A0A897ILP9_9STAP	DUF4176 domain-containing protein	Firmicutes	Bacillales	Staphylococcus sp. SB1-57	Staphylococcaceae
A0A897MAI8	A0A897MAI8_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus paralicheniformis	Bacillaceae
A0A897MG34	A0A897MG34_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus paralicheniformis	Bacillaceae
A0A898FQS9	A0A898FQS9_9FIRM	DUF4176 domain-containing protein	Firmicutes	Erysipelotrichales	Erysipelotrichaceae bacterium 66202529	Erysipelotrichaceae
A0A8A5CDY5	A0A8A5CDY5_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Clostridiales bacterium	
A0A8A5CFJ8	A0A8A5CFJ8_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Clostridiales bacterium	
A0A8A5CHU5	A0A8A5CHU5_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Clostridiales bacterium	
A0A8A8T606	A0A8A8T606_9STAP	DUF4176 domain-containing protein	Firmicutes	Bacillales	Macrococcus canis	Staphylococcaceae
A0A8A9GTZ6	A0A8A9GTZ6_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus cytotoxicus	Bacillaceae
A0A8A9I4Z6	A0A8A9I4Z6_STRSZ	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus equi	Streptococcaceae
A0A8B1CTX1	A0A8B1CTX1_STAAU	DUF4176 domain-containing protein	Firmicutes	Bacillales	Staphylococcus aureus	Staphylococcaceae
A0A8B1IM84	A0A8B1IM84_STRSZ	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus equi	Streptococcaceae
A0A8B1IQE0	A0A8B1IQE0_STRSZ	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus equi	Streptococcaceae
A0A8B1LJK4	A0A8B1LJK4_STRSZ	DUF4176 domain-containing protein	Firmicutes	Lactobacillales	Streptococcus equi	Streptococcaceae
A0A8B1YK24	A0A8B1YK24_9STRE	DUF4176 domain-containing protein	Firmicutes	Lactobacillales	Streptococcus lactarius	Streptococcaceae
A0A8B1YPT3	A0A8B1YPT3_9STRE	DUF4176 domain-containing protein	Firmicutes	Lactobacillales	Streptococcus lactarius	Streptococcaceae
A0A8B2DXE6	A0A8B2DXE6_9ACTN	DUF4176 domain-containing protein	Actinobacteria	Coriobacteriales	Atopobium sp. oral taxon 416	Atopobiaceae
A0A8B2DXK3	A0A8B2DXK3_9ACTN	DUF4176 domain-containing protein	Actinobacteria	Coriobacteriales	Atopobium sp. oral taxon 416	Atopobiaceae
A0A8B2DZ13	A0A8B2DZ13_9ACTN	DUF4176 domain-containing protein	Actinobacteria	Coriobacteriales	Atopobium sp. oral taxon 416	Atopobiaceae
A0A8B2E050	A0A8B2E050_9ACTN	DUF4176 domain-containing protein	Actinobacteria	Coriobacteriales	Atopobium sp. oral taxon 416	Atopobiaceae
A0A8B2VQD7	A0A8B2VQD7_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus sp. dmp5	Bacillaceae
A0A8B4IRP7	A0A8B4IRP7_STRUB	EsaC protein analog (Listeria type 3)	Firmicutes	Lactobacillales	Streptococcus uberis	Streptococcaceae
A0A8B4ISZ8	A0A8B4ISZ8_STRUB	EsaC protein analog (Listeria type 3)	Firmicutes	Lactobacillales	Streptococcus uberis	Streptococcaceae
A0A8B5YCC7	A0A8B5YCC7_BACLI	Uncharacterized protein	Firmicutes	Bacillales	Bacillus licheniformis	Bacillaceae
A0A8D9SI40	A0A8D9SI40_STAAU	Uncharacterized protein	Firmicutes	Bacillales	Staphylococcus aureus	Staphylococcaceae
A0A8D9SZU6	A0A8D9SZU6_STAAU	Uncharacterized protein	Firmicutes	Bacillales	Staphylococcus aureus	Staphylococcaceae
A0A8D9T1T2	A0A8D9T1T2_STAAU	Uncharacterized protein	Firmicutes	Bacillales	Staphylococcus aureus	Staphylococcaceae
A0A8D9T4D9	A0A8D9T4D9_STAAU	Uncharacterized protein	Firmicutes	Bacillales	Staphylococcus aureus	Staphylococcaceae
A0A8D9YVE2	A0A8D9YVE2_STAAU	EsaC protein	Firmicutes	Bacillales	Staphylococcus aureus	Staphylococcaceae
A0A8D9Z0K4	A0A8D9Z0K4_STAAU	EsaC protein	Firmicutes	Bacillales	Staphylococcus aureus	Staphylococcaceae
A0A8D9Z9D9	A0A8D9Z9D9_STAAU	Transposase, IS200 family	Firmicutes	Bacillales	Staphylococcus aureus	Staphylococcaceae
A0A8D9ZLE9	A0A8D9ZLE9_STAAU	Transposase, IS200 family	Firmicutes	Bacillales	Staphylococcus aureus	Staphylococcaceae
A0A8E0AUB0	A0A8E0AUB0_STAAU	Transposase, IS200 family	Firmicutes	Bacillales	Staphylococcus aureus	Staphylococcaceae
A0A8E0BID2	A0A8E0BID2_STAAU	EsaC-like protein	Firmicutes	Bacillales	Staphylococcus aureus	Staphylococcaceae
A0A8E0DDI2	A0A8E0DDI2_STAAU	Uncharacterized protein	Firmicutes	Bacillales	Staphylococcus aureus	Staphylococcaceae
A0A8E0DMH4	A0A8E0DMH4_STAAU	Transposase	Firmicutes	Bacillales	Staphylococcus aureus	Staphylococcaceae
A0A8E0DNL2	A0A8E0DNL2_STAAU	EsaC-like protein	Firmicutes	Bacillales	Staphylococcus aureus	Staphylococcaceae
A0A8E0EFZ4	A0A8E0EFZ4_STAAU	Uncharacterized protein	Firmicutes	Bacillales	Staphylococcus aureus	Staphylococcaceae
A0A8E0EJY0	A0A8E0EJY0_STAAU	EsaC protein	Firmicutes	Bacillales	Staphylococcus aureus	Staphylococcaceae
A0A8E0S5U1	A0A8E0S5U1_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus sp. ANT_WA51	Bacillaceae
A0A8E2GHL6	A0A8E2GHL6_9BACI	Cytoplasmic protein	Firmicutes	Bacillales	Bacillus sp. HMSC036E02	Bacillaceae
A0A8E2KEN3	A0A8E2KEN3_9BACI	Cytoplasmic protein	Firmicutes	Bacillales	Bacillus sp. HMSC036E02	Bacillaceae
